آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.2,2,CPI m/m|PPI m/m,Neutral|Neutral,21,15,6,71.4,28.6,2.5,2018-08-09_2018-08-13|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2020-01-11_2020-01-15|2020-09-07_2020-09-11|2022-09-12_2022-09-16|2024-05-14_2024-05-18|2024-07-08_2024-07-12|2024-09-11_2024-09-15|2025-06-08_2025-06-12|2018-03-12_2018-03-16|2018-10-08_2018-10-12|2019-01-11_2019-01-15|2019-02-10_2019-02-14|2022-01-10_2022-01-14|2023-12-11_2023-12-15|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2023-08-08_2023-08-12|2019-08-09_2019-08-13
0.2,2,CPI m/m|PPI m/m,Neutral|Good,8,4,4,50.0,50.0,1.0,2020-05-10_2020-05-14|2022-08-08_2022-08-12|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2025-03-10_2025-03-14|2025-04-09_2025-04-13|2019-10-08_2019-10-12|2023-03-11_2023-03-15
0.2,2,CPI m/m|PPI m/m,Neutral|Bad,6,3,3,50.0,50.0,1.0,2020-06-09_2020-06-13|2023-02-14_2023-02-18|2023-09-12_2023-09-16|2021-08-08_2021-08-12|2022-04-10_2022-04-14|2024-03-10_2024-03-14
0.2,2,CPI m/m|PPI m/m,Bad|Bad,2,2,0,100.0,0.0,inf,2021-05-10_2021-05-14|2020-08-08_2020-08-12
0.2,2,CPI m/m|PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2021-11-06_2021-11-10
0.3,2,CPI m/m|PPI m/m,Neutral|Neutral,27,18,9,66.7,33.3,2.0,2018-08-09_2018-08-13|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2020-01-11_2020-01-15|2020-09-07_2020-09-11|2022-09-12_2022-09-16|2023-02-14_2023-02-18|2023-09-12_2023-09-16|2024-05-14_2024-05-18|2024-07-08_2024-07-12|2024-09-11_2024-09-15|2025-03-10_2025-03-14|2025-06-08_2025-06-12|2018-03-12_2018-03-16|2018-10-08_2018-10-12|2019-01-11_2019-01-15|2019-02-10_2019-02-14|2022-01-10_2022-01-14|2022-04-10_2022-04-14|2023-12-11_2023-12-15|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2023-08-08_2023-08-12|2024-03-10_2024-03-14|2019-08-09_2019-08-13|2020-08-08_2020-08-12
0.3,2,CPI m/m|PPI m/m,Neutral|Good,7,3,4,42.9,57.1,0.75,2020-05-10_2020-05-14|2022-08-08_2022-08-12|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2025-04-09_2025-04-13|2019-10-08_2019-10-12|2023-03-11_2023-03-15
0.3,2,CPI m/m|PPI m/m,Neutral|Bad,2,2,0,100.0,0.0,inf,2020-06-09_2020-06-13|2021-08-08_2021-08-12
0.3,2,CPI m/m|PPI m/m,Bad|Neutral,2,2,0,100.0,0.0,inf,2021-05-10_2021-05-14|2021-11-06_2021-11-10
0.0,2,CPI m/m|Core PPI m/m,Neutral|Good,8,7,1,87.5,12.5,7.0,2018-08-09_2018-08-13|2019-03-12_2019-03-16|2020-01-11_2020-01-15|2019-01-11_2019-01-15|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2023-03-11_2023-03-15|2019-08-09_2019-08-13
0.0,2,CPI m/m|Core PPI m/m,Neutral|Neutral,3,3,0,100.0,0.0,inf,2019-06-10_2019-06-14|2023-09-12_2023-09-16|2018-03-12_2018-03-16
0.0,2,CPI m/m|Core PPI m/m,Neutral|Bad,7,3,4,42.9,57.1,0.75,2019-09-08_2019-09-12|2023-02-14_2023-02-18|2024-09-11_2024-09-15|2021-08-08_2021-08-12|2022-04-10_2022-04-14|2023-08-08_2023-08-12|2024-03-10_2024-03-14
0.0,2,CPI m/m|Core PPI m/m,Good|Good,8,3,5,37.5,62.5,0.6,2020-05-10_2020-05-14|2022-08-08_2022-08-12|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2025-03-10_2025-03-14|2025-04-09_2025-04-13|2025-06-08_2025-06-12|2019-10-08_2019-10-12
0.0,2,CPI m/m|Core PPI m/m,Good|Neutral,2,1,1,50.0,50.0,1.0,2020-06-09_2020-06-13|2018-10-08_2018-10-12
0.0,2,CPI m/m|Core PPI m/m,Bad|Bad,4,4,0,100.0,0.0,inf,2020-09-07_2020-09-11|2021-05-10_2021-05-14|2022-09-12_2022-09-16|2020-08-08_2020-08-12
0.0,2,CPI m/m|Core PPI m/m,Bad|Good,2,2,0,100.0,0.0,inf,2021-11-06_2021-11-10|2023-12-11_2023-12-15
0.0,2,CPI m/m|Core PPI m/m,Good|Bad,3,1,2,33.3,66.7,0.5,2024-05-14_2024-05-18|2024-07-08_2024-07-12|2019-02-10_2019-02-14
0.0,2,CPI m/m|Core PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2022-01-10_2022-01-14
0.1,2,CPI m/m|Core PPI m/m,Neutral|Neutral,14,10,4,71.4,28.6,2.5,2018-08-09_2018-08-13|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2020-01-11_2020-01-15|2020-06-09_2020-06-13|2023-09-12_2023-09-16|2024-09-11_2024-09-15|2018-03-12_2018-03-16|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2022-01-10_2022-01-14|2023-08-08_2023-08-12|2024-03-10_2024-03-14
0.1,2,CPI m/m|Core PPI m/m,Good|Good,3,1,2,33.3,66.7,0.5,2020-05-10_2020-05-14|2022-08-08_2022-08-12|2025-04-09_2025-04-13
0.1,2,CPI m/m|Core PPI m/m,Bad|Bad,4,4,0,100.0,0.0,inf,2020-09-07_2020-09-11|2021-05-10_2021-05-14|2022-09-12_2022-09-16|2020-08-08_2020-08-12
0.1,2,CPI m/m|Core PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2021-11-06_2021-11-10
0.1,2,CPI m/m|Core PPI m/m,Neutral|Bad,3,1,2,33.3,66.7,0.5,2023-02-14_2023-02-18|2021-08-08_2021-08-12|2022-04-10_2022-04-14
0.1,2,CPI m/m|Core PPI m/m,Neutral|Good,11,7,4,63.6,36.4,1.75,2023-04-10_2023-04-14|2023-11-11_2023-11-15|2025-03-10_2025-03-14|2025-06-08_2025-06-12|2019-01-11_2019-01-15|2019-10-08_2019-10-12|2023-12-11_2023-12-15|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2023-03-11_2023-03-15|2019-08-09_2019-08-13
0.1,2,CPI m/m|Core PPI m/m,Good|Bad,2,1,1,50.0,50.0,1.0,2024-05-14_2024-05-18|2024-07-08_2024-07-12
0.2,2,CPI m/m|Core PPI m/m,Neutral|Neutral,24,17,7,70.8,29.2,2.43,2018-08-09_2018-08-13|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2020-01-11_2020-01-15|2020-05-10_2020-05-14|2020-06-09_2020-06-13|2020-09-07_2020-09-11|2022-08-08_2022-08-12|2022-09-12_2022-09-16|2023-02-14_2023-02-18|2023-09-12_2023-09-16|2024-07-08_2024-07-12|2024-09-11_2024-09-15|2025-06-08_2025-06-12|2018-03-12_2018-03-16|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2022-01-10_2022-01-14|2023-12-11_2023-12-15|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2023-08-08_2023-08-12|2024-03-10_2024-03-14
0.2,2,CPI m/m|Core PPI m/m,Bad|Bad,2,2,0,100.0,0.0,inf,2021-05-10_2021-05-14|2020-08-08_2020-08-12
0.2,2,CPI m/m|Core PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2021-11-06_2021-11-10
0.2,2,CPI m/m|Core PPI m/m,Neutral|Good,8,4,4,50.0,50.0,1.0,2023-04-10_2023-04-14|2023-11-11_2023-11-15|2025-03-10_2025-03-14|2025-04-09_2025-04-13|2019-01-11_2019-01-15|2019-10-08_2019-10-12|2023-03-11_2023-03-15|2019-08-09_2019-08-13
0.2,2,CPI m/m|Core PPI m/m,Neutral|Bad,3,1,2,33.3,66.7,0.5,2024-05-14_2024-05-18|2021-08-08_2021-08-12|2022-04-10_2022-04-14
0.3,2,CPI m/m|Core PPI m/m,Neutral|Neutral,26,18,8,69.2,30.8,2.25,2018-08-09_2018-08-13|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2020-01-11_2020-01-15|2020-05-10_2020-05-14|2020-06-09_2020-06-13|2020-09-07_2020-09-11|2022-08-08_2022-08-12|2022-09-12_2022-09-16|2023-02-14_2023-02-18|2023-09-12_2023-09-16|2023-11-11_2023-11-15|2024-05-14_2024-05-18|2024-07-08_2024-07-12|2024-09-11_2024-09-15|2025-06-08_2025-06-12|2018-03-12_2018-03-16|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2022-01-10_2022-01-14|2023-12-11_2023-12-15|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2023-08-08_2023-08-12|2024-03-10_2024-03-14
0.3,2,CPI m/m|Core PPI m/m,Bad|Neutral,2,2,0,100.0,0.0,inf,2021-05-10_2021-05-14|2021-11-06_2021-11-10
0.3,2,CPI m/m|Core PPI m/m,Neutral|Good,7,3,4,42.9,57.1,0.75,2023-04-10_2023-04-14|2025-03-10_2025-03-14|2025-04-09_2025-04-13|2019-01-11_2019-01-15|2019-10-08_2019-10-12|2023-03-11_2023-03-15|2019-08-09_2019-08-13
0.3,2,CPI m/m|Core PPI m/m,Neutral|Bad,3,2,1,66.7,33.3,2.0,2021-08-08_2021-08-12|2022-04-10_2022-04-14|2020-08-08_2020-08-12
0.0,2,CPI m/m|FOMC,Bad|Neutral,1,1,0,100.0,0.0,inf,2023-12-11_2023-12-15
0.1,2,CPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-12-11_2023-12-15
0.2,2,CPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-12-11_2023-12-15
0.3,2,CPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-12-11_2023-12-15
0.0,2,CPI m/m|CPI y/y,Good|Neutral,3,1,2,33.3,66.7,0.5,2018-04-11_2018-04-15|2024-05-14_2024-05-18|2021-09-12_2021-09-16
0.0,2,CPI m/m|CPI y/y,Neutral|Neutral,14,11,3,78.6,21.4,3.67,2018-08-09_2018-08-13|2018-11-12_2018-11-16|2020-01-11_2020-01-15|2021-01-10_2021-01-14|2022-03-06_2022-03-10|2023-01-10_2023-01-14|2024-09-11_2024-09-15|2026-01-09_2026-01-13|2018-03-12_2018-03-16|2018-12-12_2018-12-16|2019-01-11_2019-01-15|2021-03-06_2021-03-10|2025-01-14_2025-01-18|2023-03-11_2023-03-15
0.0,2,CPI m/m|CPI y/y,Neutral|Good,5,4,1,80.0,20.0,4.0,2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2024-08-12_2024-08-16|2023-08-08_2023-08-12
0.0,2,CPI m/m|CPI y/y,Good|Good,16,8,8,50.0,50.0,1.0,2020-05-10_2020-05-14|2020-06-09_2020-06-13|2022-08-08_2022-08-12|2022-12-11_2022-12-15|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2024-07-08_2024-07-12|2025-03-10_2025-03-14|2025-04-09_2025-04-13|2025-06-08_2025-06-12|2026-02-13_2026-02-17|2018-09-13_2018-09-17|2018-10-08_2018-10-12|2019-10-08_2019-10-12|2025-10-21_2025-10-25|2023-06-09_2023-06-13
0.0,2,CPI m/m|CPI y/y,Bad|Neutral,5,5,0,100.0,0.0,inf,2020-07-14_2020-07-18|2025-09-11_2025-09-15|2022-01-10_2022-01-14|2023-12-11_2023-12-15|2020-12-06_2020-12-10
0.0,2,CPI m/m|CPI y/y,Bad|Bad,14,13,1,92.9,7.1,13.0,2020-09-07_2020-09-11|2021-04-10_2021-04-14|2021-05-10_2021-05-14|2021-07-09_2021-07-13|2021-11-06_2021-11-10|2022-09-12_2022-09-16|2023-10-12_2023-10-16|2018-02-10_2018-02-14|2022-02-09_2022-02-13|2024-02-09_2024-02-13|2025-02-08_2025-02-12|2019-12-07_2019-12-11|2020-08-08_2020-08-12|2024-10-06_2024-10-10
0.0,2,CPI m/m|CPI y/y,Neutral|Bad,6,2,4,33.3,66.7,0.5,2023-02-14_2023-02-18|2023-09-12_2023-09-16|2021-08-08_2021-08-12|2022-04-10_2022-04-14|2024-03-10_2024-03-14|2019-08-09_2019-08-13
0.0,2,CPI m/m|CPI y/y,Good|Bad,1,0,1,0.0,100.0,0.0,2019-02-10_2019-02-14
0.1,2,CPI m/m|CPI y/y,Neutral|Neutral,26,21,5,80.8,19.2,4.2,2018-04-11_2018-04-15|2018-08-09_2018-08-13|2018-11-12_2018-11-16|2019-06-10_2019-06-14|2020-01-11_2020-01-15|2020-07-14_2020-07-18|2021-01-10_2021-01-14|2022-03-06_2022-03-10|2023-01-10_2023-01-14|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2024-09-11_2024-09-15|2026-01-09_2026-01-13|2018-03-12_2018-03-16|2018-09-13_2018-09-17|2018-12-12_2018-12-16|2019-01-11_2019-01-15|2021-03-06_2021-03-10|2022-01-10_2022-01-14|2022-04-10_2022-04-14|2023-12-11_2023-12-15|2025-01-14_2025-01-18|2023-03-11_2023-03-15|2023-08-08_2023-08-12|2020-12-06_2020-12-10|2023-06-09_2023-06-13
0.1,2,CPI m/m|CPI y/y,Neutral|Good,9,4,5,44.4,55.6,0.8,2019-03-12_2019-03-16|2019-09-08_2019-09-12|2020-06-09_2020-06-13|2025-03-10_2025-03-14|2025-06-08_2025-06-12|2026-02-13_2026-02-17|2018-10-08_2018-10-12|2019-10-08_2019-10-12|2024-08-12_2024-08-16
0.1,2,CPI m/m|CPI y/y,Good|Good,6,3,3,50.0,50.0,1.0,2020-05-10_2020-05-14|2022-08-08_2022-08-12|2022-12-11_2022-12-15|2024-07-08_2024-07-12|2025-04-09_2025-04-13|2025-10-21_2025-10-25
0.1,2,CPI m/m|CPI y/y,Bad|Bad,10,10,0,100.0,0.0,inf,2020-09-07_2020-09-11|2021-05-10_2021-05-14|2021-07-09_2021-07-13|2021-11-06_2021-11-10|2022-09-12_2022-09-16|2023-10-12_2023-10-16|2018-02-10_2018-02-14|2022-02-09_2022-02-13|2025-02-08_2025-02-12|2020-08-08_2020-08-12
0.1,2,CPI m/m|CPI y/y,Neutral|Bad,10,5,5,50.0,50.0,1.0,2021-04-10_2021-04-14|2023-02-14_2023-02-18|2023-09-12_2023-09-16|2019-02-10_2019-02-14|2021-08-08_2021-08-12|2024-02-09_2024-02-13|2024-03-10_2024-03-14|2019-08-09_2019-08-13|2019-12-07_2019-12-11|2024-10-06_2024-10-10
0.1,2,CPI m/m|CPI y/y,Good|Neutral,2,0,2,0.0,100.0,0.0,2024-05-14_2024-05-18|2021-09-12_2021-09-16
0.1,2,CPI m/m|CPI y/y,Bad|Neutral,1,1,0,100.0,0.0,inf,2025-09-11_2025-09-15
0.2,2,CPI m/m|CPI y/y,Neutral|Neutral,54,35,19,64.8,35.2,1.84,2018-04-11_2018-04-15|2018-08-09_2018-08-13|2018-11-12_2018-11-16|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2020-01-11_2020-01-15|2020-05-10_2020-05-14|2020-06-09_2020-06-13|2020-07-14_2020-07-18|2020-09-07_2020-09-11|2021-01-10_2021-01-14|2021-04-10_2021-04-14|2022-03-06_2022-03-10|2022-08-08_2022-08-12|2023-01-10_2023-01-14|2023-04-10_2023-04-14|2023-09-12_2023-09-16|2023-10-12_2023-10-16|2023-11-11_2023-11-15|2024-05-14_2024-05-18|2024-07-08_2024-07-12|2024-09-11_2024-09-15|2025-03-10_2025-03-14|2025-04-09_2025-04-13|2025-06-08_2025-06-12|2025-09-11_2025-09-15|2026-01-09_2026-01-13|2026-02-13_2026-02-17|2018-03-12_2018-03-16|2018-09-13_2018-09-17|2018-10-08_2018-10-12|2018-12-12_2018-12-16|2019-01-11_2019-01-15|2019-02-10_2019-02-14|2019-10-08_2019-10-12|2021-03-06_2021-03-10|2021-08-08_2021-08-12|2021-09-12_2021-09-16|2022-01-10_2022-01-14|2022-04-10_2022-04-14|2023-12-11_2023-12-15|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-02-08_2025-02-12|2025-10-21_2025-10-25|2023-03-11_2023-03-15|2023-08-08_2023-08-12|2024-03-10_2024-03-14|2019-08-09_2019-08-13|2019-12-07_2019-12-11|2020-12-06_2020-12-10|2023-06-09_2023-06-13|2024-10-06_2024-10-10
0.2,2,CPI m/m|CPI y/y,Bad|Bad,4,4,0,100.0,0.0,inf,2021-05-10_2021-05-14|2021-07-09_2021-07-13|2021-11-06_2021-11-10|2020-08-08_2020-08-12
0.2,2,CPI m/m|CPI y/y,Neutral|Bad,5,4,1,80.0,20.0,4.0,2022-09-12_2022-09-16|2023-02-14_2023-02-18|2018-02-10_2018-02-14|2022-02-09_2022-02-13|2024-02-09_2024-02-13
0.2,2,CPI m/m|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2022-12-11_2022-12-15
0.3,2,CPI m/m|CPI y/y,Neutral|Neutral,60,40,20,66.7,33.3,2.0,2018-04-11_2018-04-15|2018-08-09_2018-08-13|2018-11-12_2018-11-16|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2020-01-11_2020-01-15|2020-05-10_2020-05-14|2020-06-09_2020-06-13|2020-07-14_2020-07-18|2020-09-07_2020-09-11|2021-01-10_2021-01-14|2021-04-10_2021-04-14|2022-03-06_2022-03-10|2022-08-08_2022-08-12|2022-09-12_2022-09-16|2022-12-11_2022-12-15|2023-01-10_2023-01-14|2023-02-14_2023-02-18|2023-04-10_2023-04-14|2023-09-12_2023-09-16|2023-10-12_2023-10-16|2023-11-11_2023-11-15|2024-05-14_2024-05-18|2024-07-08_2024-07-12|2024-09-11_2024-09-15|2025-03-10_2025-03-14|2025-04-09_2025-04-13|2025-06-08_2025-06-12|2025-09-11_2025-09-15|2026-01-09_2026-01-13|2026-02-13_2026-02-17|2018-02-10_2018-02-14|2018-03-12_2018-03-16|2018-09-13_2018-09-17|2018-10-08_2018-10-12|2018-12-12_2018-12-16|2019-01-11_2019-01-15|2019-02-10_2019-02-14|2019-10-08_2019-10-12|2021-03-06_2021-03-10|2021-08-08_2021-08-12|2021-09-12_2021-09-16|2022-01-10_2022-01-14|2022-02-09_2022-02-13|2022-04-10_2022-04-14|2023-12-11_2023-12-15|2024-02-09_2024-02-13|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-02-08_2025-02-12|2025-10-21_2025-10-25|2023-03-11_2023-03-15|2023-08-08_2023-08-12|2024-03-10_2024-03-14|2019-08-09_2019-08-13|2019-12-07_2019-12-11|2020-12-06_2020-12-10|2023-06-09_2023-06-13|2024-10-06_2024-10-10
0.3,2,CPI m/m|CPI y/y,Bad|Bad,2,2,0,100.0,0.0,inf,2021-05-10_2021-05-14|2021-07-09_2021-07-13
0.3,2,CPI m/m|CPI y/y,Bad|Neutral,1,1,0,100.0,0.0,inf,2021-11-06_2021-11-10
0.3,2,CPI m/m|CPI y/y,Neutral|Bad,1,1,0,100.0,0.0,inf,2020-08-08_2020-08-12
0.0,2,Core CPI m/m|PPI m/m,Neutral|Good,5,3,2,60.0,40.0,1.5,2018-08-09_2018-08-13|2023-04-10_2023-04-14|2019-01-11_2019-01-15|2019-02-10_2019-02-14|2024-08-12_2024-08-16
0.0,2,Core CPI m/m|PPI m/m,Good|Good,10,6,4,60.0,40.0,1.5,2019-03-12_2019-03-16|2020-01-11_2020-01-15|2020-05-10_2020-05-14|2022-08-08_2022-08-12|2023-11-11_2023-11-15|2025-03-10_2025-03-14|2025-04-09_2025-04-13|2025-06-08_2025-06-12|2019-10-08_2019-10-12|2025-01-14_2025-01-18
0.0,2,Core CPI m/m|PPI m/m,Good|Neutral,2,1,1,50.0,50.0,1.0,2019-06-10_2019-06-14|2018-10-08_2018-10-12
0.0,2,Core CPI m/m|PPI m/m,Bad|Bad,7,5,2,71.4,28.6,2.5,2019-09-08_2019-09-12|2020-09-07_2020-09-11|2021-05-10_2021-05-14|2023-09-12_2023-09-16|2024-09-11_2024-09-15|2024-03-10_2024-03-14|2020-08-08_2020-08-12
0.0,2,Core CPI m/m|PPI m/m,Good|Bad,4,3,1,75.0,25.0,3.0,2020-06-09_2020-06-13|2024-07-08_2024-07-12|2021-08-08_2021-08-12|2022-04-10_2022-04-14
0.0,2,Core CPI m/m|PPI m/m,Bad|Neutral,3,2,1,66.7,33.3,2.0,2021-11-06_2021-11-10|2022-09-12_2022-09-16|2019-08-09_2019-08-13
0.0,2,Core CPI m/m|PPI m/m,Neutral|Bad,4,2,2,50.0,50.0,1.0,2023-02-14_2023-02-18|2024-05-14_2024-05-18|2018-03-12_2018-03-16|2023-08-08_2023-08-12
0.0,2,Core CPI m/m|PPI m/m,Bad|Good,2,2,0,100.0,0.0,inf,2022-01-10_2022-01-14|2023-03-11_2023-03-15
0.0,2,Core CPI m/m|PPI m/m,Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-12-11_2023-12-15
0.1,2,Core CPI m/m|PPI m/m,Neutral|Good,9,6,3,66.7,33.3,2.0,2018-08-09_2018-08-13|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2025-03-10_2025-03-14|2019-02-10_2019-02-14|2019-10-08_2019-10-12|2022-01-10_2022-01-14|2025-01-14_2025-01-18|2023-03-11_2023-03-15
0.1,2,Core CPI m/m|PPI m/m,Neutral|Neutral,13,10,3,76.9,23.1,3.33,2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2020-01-11_2020-01-15|2024-07-08_2024-07-12|2024-09-11_2024-09-15|2018-03-12_2018-03-16|2018-10-08_2018-10-12|2019-01-11_2019-01-15|2023-12-11_2023-12-15|2024-08-12_2024-08-16|2023-08-08_2023-08-12|2019-08-09_2019-08-13
0.1,2,Core CPI m/m|PPI m/m,Good|Good,3,1,2,33.3,66.7,0.5,2020-05-10_2020-05-14|2022-08-08_2022-08-12|2025-04-09_2025-04-13
0.1,2,Core CPI m/m|PPI m/m,Neutral|Bad,4,2,2,50.0,50.0,1.0,2020-06-09_2020-06-13|2023-02-14_2023-02-18|2023-09-12_2023-09-16|2024-05-14_2024-05-18
0.1,2,Core CPI m/m|PPI m/m,Bad|Neutral,3,3,0,100.0,0.0,inf,2020-09-07_2020-09-11|2021-11-06_2021-11-10|2022-09-12_2022-09-16
0.1,2,Core CPI m/m|PPI m/m,Bad|Bad,3,2,1,66.7,33.3,2.0,2021-05-10_2021-05-14|2024-03-10_2024-03-14|2020-08-08_2020-08-12
0.1,2,Core CPI m/m|PPI m/m,Good|Neutral,1,0,1,0.0,100.0,0.0,2025-06-08_2025-06-12
0.1,2,Core CPI m/m|PPI m/m,Good|Bad,2,1,1,50.0,50.0,1.0,2021-08-08_2021-08-12|2022-04-10_2022-04-14
0.2,2,Core CPI m/m|PPI m/m,Neutral|Neutral,21,15,6,71.4,28.6,2.5,2018-08-09_2018-08-13|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2020-01-11_2020-01-15|2020-09-07_2020-09-11|2021-11-06_2021-11-10|2024-05-14_2024-05-18|2024-07-08_2024-07-12|2024-09-11_2024-09-15|2025-06-08_2025-06-12|2018-03-12_2018-03-16|2018-10-08_2018-10-12|2019-01-11_2019-01-15|2019-02-10_2019-02-14|2022-01-10_2022-01-14|2023-12-11_2023-12-15|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2023-08-08_2023-08-12|2019-08-09_2019-08-13
0.2,2,Core CPI m/m|PPI m/m,Neutral|Good,8,4,4,50.0,50.0,1.0,2020-05-10_2020-05-14|2022-08-08_2022-08-12|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2025-03-10_2025-03-14|2025-04-09_2025-04-13|2019-10-08_2019-10-12|2023-03-11_2023-03-15
0.2,2,Core CPI m/m|PPI m/m,Neutral|Bad,6,3,3,50.0,50.0,1.0,2020-06-09_2020-06-13|2023-02-14_2023-02-18|2023-09-12_2023-09-16|2021-08-08_2021-08-12|2022-04-10_2022-04-14|2024-03-10_2024-03-14
0.2,2,Core CPI m/m|PPI m/m,Bad|Bad,2,2,0,100.0,0.0,inf,2021-05-10_2021-05-14|2020-08-08_2020-08-12
0.2,2,Core CPI m/m|PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2022-09-12_2022-09-16
0.3,2,Core CPI m/m|PPI m/m,Neutral|Neutral,27,18,9,66.7,33.3,2.0,2018-08-09_2018-08-13|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2020-01-11_2020-01-15|2020-09-07_2020-09-11|2021-11-06_2021-11-10|2022-09-12_2022-09-16|2023-02-14_2023-02-18|2023-09-12_2023-09-16|2024-05-14_2024-05-18|2024-07-08_2024-07-12|2024-09-11_2024-09-15|2025-03-10_2025-03-14|2025-06-08_2025-06-12|2018-03-12_2018-03-16|2018-10-08_2018-10-12|2019-01-11_2019-01-15|2019-02-10_2019-02-14|2022-01-10_2022-01-14|2022-04-10_2022-04-14|2023-12-11_2023-12-15|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2023-08-08_2023-08-12|2024-03-10_2024-03-14|2019-08-09_2019-08-13
0.3,2,Core CPI m/m|PPI m/m,Neutral|Good,7,3,4,42.9,57.1,0.75,2020-05-10_2020-05-14|2022-08-08_2022-08-12|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2025-04-09_2025-04-13|2019-10-08_2019-10-12|2023-03-11_2023-03-15
0.3,2,Core CPI m/m|PPI m/m,Neutral|Bad,2,2,0,100.0,0.0,inf,2020-06-09_2020-06-13|2021-08-08_2021-08-12
0.3,2,Core CPI m/m|PPI m/m,Bad|Neutral,2,2,0,100.0,0.0,inf,2021-05-10_2021-05-14|2020-08-08_2020-08-12
0.0,2,Core CPI m/m|Core PPI m/m,Neutral|Good,5,4,1,80.0,20.0,4.0,2018-08-09_2018-08-13|2023-04-10_2023-04-14|2019-01-11_2019-01-15|2023-12-11_2023-12-15|2024-08-12_2024-08-16
0.0,2,Core CPI m/m|Core PPI m/m,Good|Good,10,6,4,60.0,40.0,1.5,2019-03-12_2019-03-16|2020-01-11_2020-01-15|2020-05-10_2020-05-14|2022-08-08_2022-08-12|2023-11-11_2023-11-15|2025-03-10_2025-03-14|2025-04-09_2025-04-13|2025-06-08_2025-06-12|2019-10-08_2019-10-12|2025-01-14_2025-01-18
0.0,2,Core CPI m/m|Core PPI m/m,Good|Neutral,3,2,1,66.7,33.3,2.0,2019-06-10_2019-06-14|2020-06-09_2020-06-13|2018-10-08_2018-10-12
0.0,2,Core CPI m/m|Core PPI m/m,Bad|Bad,7,5,2,71.4,28.6,2.5,2019-09-08_2019-09-12|2020-09-07_2020-09-11|2021-05-10_2021-05-14|2022-09-12_2022-09-16|2024-09-11_2024-09-15|2024-03-10_2024-03-14|2020-08-08_2020-08-12
0.0,2,Core CPI m/m|Core PPI m/m,Bad|Good,3,2,1,66.7,33.3,2.0,2021-11-06_2021-11-10|2023-03-11_2023-03-15|2019-08-09_2019-08-13
0.0,2,Core CPI m/m|Core PPI m/m,Neutral|Bad,4,1,3,25.0,75.0,0.33,2023-02-14_2023-02-18|2024-05-14_2024-05-18|2019-02-10_2019-02-14|2023-08-08_2023-08-12
0.0,2,Core CPI m/m|Core PPI m/m,Bad|Neutral,2,2,0,100.0,0.0,inf,2023-09-12_2023-09-16|2022-01-10_2022-01-14
